732410.5    135.1      4.3
732427.5    135.7      2.5
732441.5    130.3      3.6
732455.5    138.4      1.8
732469.5    142.9      0.1
732515.5    148.7      7.5
732560.5    157.0      3.9
732574.5    152.4      7.2
732589.5    154.7      3.9
732648.5    158.2      1.4
732708.5    137.4      4.3
732737.5    141.3      4.3
732766.5    132.5      5.7
732795.5    131.4      4.8
732807.5    137.7      2.9
732855.5    132.6      6.3
732889.5    130.9      4.4
732942.5    138.3      7.2
732959.5    150.8      9.0
733015.5    143.7      3.0
733078.5    121.0     10.4
733135.5    110.3      4.5
733166.5    122.8      2.3
733194.5    123.4      7.7
733226.5    126.3     11.7
733285.5    125.0     12.0
733326.5    123.4      5.1
733340.5    133.9      7.1
733355.5    130.1     10.6
733387.5    135.6      2.0
733418.5    140.5      4.2
733449.5    125.3      3.3
733506.5    124.6      8.6
733813.5    100.9      5.5
733829.5    104.4      5.4
733900.5    120.1     24.7
733918.5    119.7     38.5
733932.5    125.6      5.1
733948.5    125.3      4.4
733960.5    126.3      4.8
733978.5    128.9      5.2
733991.5    130.2      5.4
734005.5    129.3      5.3
734023.5    127.8      3.1
734037.5    127.4      3.1
734051.5    129.3      4.9
734065.5    128.9      4.8
734094.5    116.5      8.2
734110.5    114.5      5.6
734124.5    115.2      4.4
734142.5    112.3      4.8
734156.5    111.3      5.3
734171.5    113.3      5.9
734185.5    115.9      6.5
734198.5    114.5     10.9
734214.5    128.5     11.9
734228.5    115.8      6.8
734243.5    112.9      6.2
734256.5    113.8      5.7
734275.5    115.7      6.5
734286.5    122.5      9.2
734303.5    128.3     10.9
734317.5    126.7     11.7
734363.5    133.3      7.6
734390.5    134.2      6.4
734404.5    132.3      6.8
734419.5    134.3      5.9
734435.5    138.5     17.3
734465.5    130.2      6.6
734478.5    132.9      5.4
734495.5    129.7      7.8
734508.5    128.8      4.8
734524.5    124.1     11.6
734538.5    127.5      5.9
734555.5    120.1      5.8
734569.5    114.7      9.3
734583.5    120.3      5.8
734600.5    120.2      7.7
734611.5    120.5      7.1
734627.5    121.8      6.0
734641.5    121.0      8.0
734655.5    127.3      4.8
734671.5    125.5     10.3
734688.5    134.7     14.1
734696.5    133.1     12.7
734717.5    147.1     14.6
734760.5    155.1      8.7
734773.5    162.5      6.7
734789.5    160.3      5.6
734802.5    163.2      5.3
734816.5    160.4      8.2
734832.5    156.5      9.3
734849.5    154.4      8.8
734880.5    137.4      7.1
734893.5    139.7      7.0
734907.5    138.3      4.9
734937.5    147.4      4.2
734951.5    143.3      7.8
734965.5    144.7     13.1
734979.5    143.7      5.5
734998.5    138.1      4.6
735010.5    139.4      5.5
735025.5    140.3      4.8
735041.5    144.8      4.8
735042.5    138.7      0.7
735054.5    146.2      4.0
735070.5    147.5      6.1
735084.5    146.5      3.5
735112.5    147.5      5.7
735129.5    151.2     10.0
735143.5    151.5     10.4
735158.5    153.9      7.5
735159.5    155.2      6.5
735203.5    142.1      4.4
735217.5    147.1      4.5
735248.5    138.9     11.2
735264.5    134.7      7.9
735277.5    130.2      4.9
735305.5    134.9      7.4
735321.5    133.4      6.0
735353.5    129.6      7.8
